customer_sk,kmeans_cluster,segment_label
8547,2,😴 Lost Customers
73859,2,😴 Lost Customers
74119,2,😴 Lost Customers
2066,2,😴 Lost Customers
12399,2,😴 Lost Customers
91986,2,😴 Lost Customers
90251,2,😴 Lost Customers
54315,2,😴 Lost Customers
96163,2,😴 Lost Customers
43911,2,😴 Lost Customers
79337,2,😴 Lost Customers
6512,2,😴 Lost Customers
56616,2,😴 Lost Customers
28851,2,😴 Lost Customers
92323,2,😴 Lost Customers
4810,2,😴 Lost Customers
85274,2,😴 Lost Customers
52786,2,😴 Lost Customers
46878,2,😴 Lost Customers
83349,2,😴 Lost Customers
37685,2,😴 Lost Customers
88290,2,😴 Lost Customers
35701,2,😴 Lost Customers
67609,2,😴 Lost Customers
5207,2,😴 Lost Customers
95192,2,😴 Lost Customers
8328,2,😴 Lost Customers
62802,2,😴 Lost Customers
48473,2,😴 Lost Customers
2552,2,😴 Lost Customers
16381,2,😴 Lost Customers
76565,2,😴 Lost Customers
74120,2,😴 Lost Customers
21217,2,😴 Lost Customers
79703,2,😴 Lost Customers
35806,2,😴 Lost Customers
18908,2,😴 Lost Customers
36450,2,😴 Lost Customers
68917,2,😴 Lost Customers
13293,2,😴 Lost Customers
57158,2,😴 Lost Customers
86171,2,😴 Lost Customers
891,2,😴 Lost Customers
11573,2,😴 Lost Customers
83540,2,😴 Lost Customers
578,2,😴 Lost Customers
32482,2,😴 Lost Customers
3529,2,😴 Lost Customers
537,2,😴 Lost Customers
23817,2,😴 Lost Customers
84958,2,😴 Lost Customers
38465,2,😴 Lost Customers
65037,2,😴 Lost Customers
72428,2,😴 Lost Customers
44605,2,😴 Lost Customers
95222,2,😴 Lost Customers
85620,2,😴 Lost Customers
61483,2,😴 Lost Customers
65152,2,😴 Lost Customers
56201,2,😴 Lost Customers
83651,2,😴 Lost Customers
18789,2,😴 Lost Customers
77523,2,😴 Lost Customers
95125,2,😴 Lost Customers
6089,2,😴 Lost Customers
24772,2,😴 Lost Customers
58215,2,😴 Lost Customers
4273,2,😴 Lost Customers
97642,2,😴 Lost Customers
90641,2,😴 Lost Customers
65267,2,😴 Lost Customers
80497,2,😴 Lost Customers
48540,2,😴 Lost Customers
41310,2,😴 Lost Customers
3286,2,😴 Lost Customers
61796,2,😴 Lost Customers
42420,2,😴 Lost Customers
64247,2,😴 Lost Customers
80480,2,😴 Lost Customers
5142,2,😴 Lost Customers
50538,2,😴 Lost Customers
22387,2,😴 Lost Customers
61854,2,😴 Lost Customers
28737,2,😴 Lost Customers
69849,2,😴 Lost Customers
41550,2,😴 Lost Customers
70205,2,😴 Lost Customers
84658,2,😴 Lost Customers
14710,2,😴 Lost Customers
89789,2,😴 Lost Customers
