customer_sk,customer_unique_id,customer_state,customer_region,recency_days,frequency_orders,monetary_value,avg_order_value,avg_review_score,customer_lifetime_days,rfm_score,customer_value,kmeans_cluster,segment_label,pca_1,pca_2
8547,0a0a92112bd4c708ca5fde585afaa872,RJ,Sudeste,334,1,109312.64,1708.01,1.0,0,8,Medium Value,2,🌟 Champions (VIP),27.38935641379237,122.3004763141496
73859,698e1cf81d01a3d389d96145f7fa6df8,GO,Centro-Oeste,371,1,45256.0,113.14,3.0,0,8,Medium Value,0,🛍️ High-Value Occasional,10.97303339312755,48.126687378446256
74119,c402f431464c72e27330a67f7b94d4fb,SP,Sudeste,188,1,44048.0,110.12,1.0,0,9,Medium Value,0,🛍️ High-Value Occasional,10.7505196683647,47.02713956233985
2066,4007669dec559734d6f53e029e360987,MG,Sudeste,278,1,36489.24,1013.59,1.0,0,8,Medium Value,0,🛍️ High-Value Occasional,9.047288302028564,42.15109721255562
12399,ef8d54b3797ea4db1d63f0ced6a906e9,RJ,Sudeste,132,1,30186.0,301.86,5.0,0,10,High Value,0,🛍️ High-Value Occasional,7.39795397256346,32.442118896440306
91986,763c8b1c9c68a0229c42c9fc6f662b93,ES,Sudeste,45,1,29099.52,1818.72,1.0,0,11,High Value,0,🛍️ High-Value Occasional,7.530354975660839,37.05752900993293
85620,c8460e4251689ba205045f3ea17884a1,RS,Sul,21,4,27935.46,193.995,4.0,1,15,VIP,2,🌟 Champions (VIP),40.22130002087436,29.548174695010065
77318,eae0a83d752b1dd32697e0e7b4221656,BA,Nordeste,127,2,25051.89,185.534,3.0,82,14,VIP,2,🌟 Champions (VIP),11.566531571070325,25.907230645168056
90251,3d47f4368ccc8e1bb4c4a12dbda7111b,SP,Sudeste,331,1,22346.6,223.466,1.0,0,8,Medium Value,0,🛍️ High-Value Occasional,5.2832014104380685,24.293802021291043
96163,adfa1cab2b2c8706db21bb13c0a1beb1,MT,Centro-Oeste,89,1,19457.04,540.4733333333334,3.0,0,11,High Value,0,🛍️ High-Value Occasional,4.785620884600697,22.055660797429976
54207,0f5ac8d5c31de21d2f25e24be15bbffb,PR,Sul,275,2,19342.26,85.82333333333334,5.0,4,12,High Value,2,🌟 Champions (VIP),10.883323961898805,19.793726200928624
43911,1b76903617af13189607a36b0469f6f3,MA,Nordeste,99,1,19174.38,532.6233333333333,1.0,0,10,High Value,0,🛍️ High-Value Occasional,4.691842889190742,21.957745315276206
79337,93bc212addb25a5f5139fded3c2ee6b3,RS,Sul,328,1,18667.0,186.67,1.0,0,8,Medium Value,0,🛍️ High-Value Occasional,4.356068687012042,20.238006429530625
56616,9eca552063680b7cd2ed0e8aea002b21,PR,Sul,230,1,17786.88,123.52,1.0,0,9,Medium Value,0,🛍️ High-Value Occasional,4.171341035917501,19.06117730412305
28851,20a5257c01689ac69410a14cb51bb447,SP,Sudeste,351,1,17671.0,176.71,1.0,0,8,Medium Value,0,🛍️ High-Value Occasional,4.092625936829419,19.14403791938929
92323,fff5eb4918b2bf4b2da476788d42051c,PB,Nordeste,58,1,17069.76,474.16,5.0,0,11,High Value,0,🛍️ High-Value Occasional,4.204331077053854,19.04085002811788
4810,6d394722d5fc5e721aee6875a218d8db,RJ,Sudeste,298,1,16313.6,254.9,4.0,0,8,Medium Value,0,🛍️ High-Value Occasional,3.825263282035142,17.61740787859784
85274,37bc3d463e2a0024012a7fa587597a3c,SC,Sul,134,1,14963.64,103.9125,4.0,0,10,High Value,0,🛍️ High-Value Occasional,3.535179202751115,15.619955158861204
52786,6411590d91c48640cb07e72fbb4a359e,GO,Centro-Oeste,163,1,14577.57,179.97,1.0,0,10,High Value,0,🛍️ High-Value Occasional,3.4192285982621806,15.824410955375393
46878,38a4f1deb45ca914dd13c73b41775d71,SP,Sudeste,274,1,14401.0,144.01,1.0,0,8,Medium Value,0,🛍️ High-Value Occasional,3.3076726542221557,15.527667114715612
83349,31e412b9fb766b6794724ed17a41dfa6,SP,Sudeste,259,1,14196.28,72.43,1.0,0,9,Medium Value,0,🛍️ High-Value Occasional,3.2459891376308803,15.05530838724157
37685,be825ddd3b40db3f91bf05b4e9435d56,BA,Nordeste,79,1,12490.88,780.68,5.0,0,11,High Value,1,📊 Standard Customers,3.128228565054235,15.235681251661033
88290,09e9991c50513a303a2da26619870d7f,SP,Sudeste,231,1,12300.0,123.0,1.0,0,9,Medium Value,0,🛍️ High-Value Occasional,2.7999402388750885,13.205170724470765
40473,906a8a4ec9f3d4c3e64fa6d1c4fe6009,SP,Sudeste,40,2,11881.01,288.69,3.5,15,15,VIP,2,🌟 Champions (VIP),7.308286230563721,12.512960351230475
67609,11f97da02237a49c8e783dfda6f50e8e,GO,Centro-Oeste,576,1,11745.0,52.2,5.0,0,7,Medium Value,1,📊 Standard Customers,2.494000278698253,11.960913351743613
5207,c8ed31310fc440a3f8031b177f9842c3,SP,Sudeste,17,1,11572.8,115.728,3.0,0,11,High Value,0,🛍️ High-Value Occasional,2.74450494227793,12.139388643314637
