customer_sk,customer_unique_id,customer_state,customer_region,recency_days,frequency_orders,monetary_value,avg_order_value,avg_review_score,customer_lifetime_days,rfm_score,customer_value,kmeans_cluster,dbscan_cluster,segment_label,pca_1,pca_2
8547,0a0a92112bd4c708ca5fde585afaa872,RJ,Sudeste,3107.0,1,109312.64,1708.01,1.0,0.0,8,Medium Value,0,-1,😴 Lost Customers,129.79253136316385,-1.1286380677108299
73859,698e1cf81d01a3d389d96145f7fa6df8,GO,Centro-Oeste,3144.0,1,45256.0,113.14,3.0,0.0,8,Medium Value,0,-1,😴 Lost Customers,51.17978214032849,0.28265881509243584
74119,c402f431464c72e27330a67f7b94d4fb,SP,Sudeste,2961.0,1,44048.0,110.12,1.0,0.0,9,Medium Value,0,-1,😴 Lost Customers,50.0131834211972,0.409964829254598
2066,4007669dec559734d6f53e029e360987,MG,Sudeste,3051.0,1,36489.24,1013.59,1.0,0.0,8,Medium Value,0,-1,😴 Lost Customers,44.61576659395581,0.5256185296426719
12399,ef8d54b3797ea4db1d63f0ced6a906e9,RJ,Sudeste,2905.0,1,30186.0,301.86,5.0,0.0,10,High Value,0,-1,😴 Lost Customers,34.523077253138,-1.6885404780349103
91986,763c8b1c9c68a0229c42c9fc6f662b93,ES,Sudeste,2818.0,1,29099.52,1818.72,1.0,0.0,11,High Value,0,-1,😴 Lost Customers,39.07215403213794,-0.9087128414697261
90251,3d47f4368ccc8e1bb4c4a12dbda7111b,SP,Sudeste,3104.0,1,22346.6,223.466,1.0,0.0,8,Medium Value,0,-1,😴 Lost Customers,25.75739348642076,1.5196824761980712
54315,eae0a83d752b1dd32697e0e7b4221656,BA,Nordeste,2982.0,1,21874.05,180.77545454545455,3.0,0.0,9,Medium Value,0,-1,😴 Lost Customers,24.862128784962863,-0.05761146483366624
96163,adfa1cab2b2c8706db21bb13c0a1beb1,MT,Centro-Oeste,2862.0,1,19457.04,540.4733333333334,3.0,0.0,11,High Value,0,-1,😴 Lost Customers,23.39058562007219,-0.7960636865095799
43911,1b76903617af13189607a36b0469f6f3,MA,Nordeste,2872.0,1,19174.38,532.6233333333333,1.0,0.0,10,High Value,0,-1,😴 Lost Customers,23.252595354333756,0.2700824814006927
